GB.XPD.RSDV.GD.ZS,GC.XPN.TOTL.GD.ZS,IP.PAT.RESD,NE.RSB.GNFS.CD,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.PCAP.CD,SE.ADT.LITR.ZS,SE.XPD.PRIM.PC.ZS,SE.XPD.TOTL.GD.ZS,SH.DYN.NMRT,SH.XPD.GHED.GD.ZS,SI.POV.GINI,SI.POV.NAHC,SL.UEM.TOTL.ZS,SP.DYN.LE00.IN,SP.POP.SCIE.RD.P6,VC.IHR.PSRC.P5,year,country
,,,4212460577.20916,-1.08993334133791,4004.00958893967,3870.0,,,,16.3,,,,,71.052,,,1988,ARG
,,,4964855540.62555,-7.15694965597953,2382.33806588418,2920.0,,,1.04612004756927,15.6,,,,,71.425,,,1989,ARG
,10.3254404487432,955.0,8096981411.08916,-2.46721377810472,4330.96745108666,3190.0,,,1.06737995147705,15.0,,,,,71.784,,,1990,ARG
,11.2055409345172,943.0,3029889879.39171,9.13311056738961,5730.72380988423,3860.0,96.0407180786133,,,14.7,,46.8,,5.44,72.319,,,1991,ARG
,11.8011099217048,503.0,-3510855354.69435,7.93729155643076,6815.33162293557,6060.0,,,,14.6,,45.5,,6.36,72.43,,,1992,ARG
,14.2818561185834,787.0,-5692332332.33233,8.20697907221228,6957.41749889251,7110.0,,,,14.4,,44.9,,10.1,72.565,,,1993,ARG
,14.9007924176507,694.0,-7914860000.0,5.83620070368526,7464.4747368819,7600.0,,,,14.2,,45.9,,11.76,73.172,,,1994,ARG
,15.5112306915719,676.0,-1059485000.0,-2.84520961057079,7383.70450960064,7340.0,,,,13.6,,48.9,,18.8,73.133,,,1995,ARG
0.417490005493164,15.1655476442657,1097.0,-1767000000.0,5.52668982715234,7690.15700254783,7700.0,,,3.73198008537292,12.6,,49.5,,17.11,73.307,,,1996,ARG
0.419589996337891,15.0142218610321,824.0,-6485300000.0,8.1110467707457,8176.77119517435,8110.0,,,,11.5,,49.1,,14.82,73.09,695.619445800781,,1997,ARG
0.411309987306595,15.0988005449104,861.0,-7530100000.0,3.85017885156228,8250.67317414321,7990.0,,10.95099,4.03986978530884,10.9,,50.7,,12.65,73.474,704.840881347656,,1998,ARG
0.453370004892349,16.7436856974566,899.0,-4900400000.0,-3.38545704063269,7735.32208018486,7540.0,,12.42388,4.52167987823486,10.9,,49.8,,14.05,73.722,713.078796386719,,1999,ARG
0.438840001821518,16.8328883767368,1062.0,-1846455600.0,-0.78899893905691,7666.51783423783,7430.0,,12.2987,4.58030986785889,11.1,4.49895144,51.1,,15.0,73.926,716.556457519531,,2000,ARG
0.424609988927841,16.9923529034125,691.0,3508536600.0,-4.40883968258557,7168.97587232911,6960.0,97.1933135986328,13.80064,4.833740234375,11.0,4.59210253,53.3,,17.32,74.186,688.277709960938,8.34834280792868,2001,ARG
0.388859987258911,19.6771706443151,718.0,14670786469.0802,-10.8944848285903,2579.48876933284,4020.0,,10.75649,4.01734018325806,10.7,4.03350496,53.8,,19.59,74.408,692.191833496094,9.42324762172539,2002,ARG
0.410129994153976,19.8373029880995,792.0,14311606659.1997,8.83704079576924,3333.15290388997,3640.0,,10.47639,3.53504991531372,10.3,3.77215648,50.9,,15.36,74.08,718.522766113281,7.75115556419001,2003,ARG
0.403759986162186,16.8763416365527,786.0,11530324282.1261,9.02957330068152,4258.16026060875,3360.0,,10.00318,3.48652005195618,9.7,3.74438357,48.4,,13.52,74.855,765.640197753906,6.04621868694569,2004,ARG
0.420740008354187,,1054.0,11805942344.4323,8.85165992013437,5086.62776073134,4240.0,,10.53523,3.86000990867615,9.2,3.91339946,47.7,,11.51,75.139,819.377685546875,5.62572777894156,2005,ARG
0.452160000801086,,1020.0,13069507211.5385,8.04715150043027,5890.97800169795,5460.0,,11.53286,4.12821006774902,8.7,4.01898909,46.3,,10.08,75.433,891.832763671875,5.34743773442615,2006,ARG
0.460070013999939,,937.0,12594785132.7093,9.00765087504757,7210.59554755899,6480.0,,12.6881,4.46260023117065,8.4,4.25491619,46.2,,8.47,75.006,974.718078613281,5.36411380031375,2007,ARG
0.470550000667572,,801.0,13446803975.2178,4.05723310346406,8977.50685093365,7630.0,,13.70256,4.84440994262695,8.1,4.50854683,44.9,,7.84,75.641,1035.99890136719,5.88720663318102,2008,ARG
0.583980023860931,,640.0,16864736858.9573,-5.91852507634947,8184.38988923991,7760.0,,14.80287,5.53105020523071,7.8,5.66982841,43.7,,8.65,75.936,1035.62536621094,6.49389936621435,2009,ARG
0.561039984226227,,552.0,12270934023.3519,10.1253981561002,10385.9644319555,9270.0,,13.68048,5.01971006393433,7.6,5.56834269,43.6,,7.71,75.721,1123.83312988281,5.80046925893628,2010,ARG
0.565970003604889,,688.0,8971672206.31796,6.00395169280579,12848.7404762598,10710.0,,14.20816,5.29062986373901,7.5,5.68117285,42.6,,7.18,76.124,1180.67297363281,6.04758007684834,2011,ARG
0.634909987449646,,735.0,10642160447.0661,-1.0264204544321,13082.664325572,11890.0,,14.56387,5.34582996368408,7.5,6.13485479,41.3,,7.22,76.467,1203.37121582031,6.3119206747939,2012,ARG
0.618489980697632,,643.0,-549718918.473333,2.40532378079436,13080.2547323367,12870.0,,14.38084,5.43661022186279,7.4,6.22042274,40.9,,7.1,76.491,1198.26440429688,7.24728815890076,2013,ARG
0.593959987163544,24.5697808575806,509.0,2127192190.98412,-2.51261532081394,12334.7982453893,12350.0,,14.38654,5.36144018173218,7.0,6.3273077,41.6,,7.27,76.755,1206.94189453125,7.53781983762934,2014,ARG
0.622619986534119,25.0083932347048,546.0,-6393090842.80549,2.73115982828944,13789.060424772,12600.0,,15.64309,5.77611017227173,6.6,6.82437325,,,7.524,76.76,1230.53942871094,6.55846615392808,2015,ARG
0.558149993419647,26.1799164832469,884.0,-5796649625.96818,-2.08032784377811,12790.2640639201,12220.0,,15.2222,5.54548978805542,6.4,5.59118652,42.0,30.3,8.109,76.308,1259.64013671875,6.01123358722838,2016,ARG
0.556309998035431,24.2825320419979,393.0,-17049937741.2364,2.81850297775918,14613.035714704,13140.0,,14.97726,5.45431995391846,6.2,6.59935713,41.1,25.7,8.35,76.833,1210.45654296875,5.25938076500315,2017,ARG
0.494349986314774,22.6877806247463,425.0,-9914710977.84628,-2.61739646282038,11795.1628852236,12430.0,,,4.87773990631104,6.1,5.96251631,41.3,32.0,9.22,76.999,1224.17919921875,5.36772568472051,2018,ARG
0.478130012750626,22.036480926619,442.0,14413857877.8198,-2.00086100285785,9963.67423069626,11220.0,,,4.77759981155396,5.9,6.05942106,42.9,35.5,9.84,77.284,1226.06970214844,5.15582342098159,2019,ARG
0.525219976902008,25.8539425343283,930.0,11573710633.0998,-9.94323513446069,8496.428156755,9010.0,,,5.27964019775391,5.6,6.6165266,42.3,42.0,11.46,75.892,1236.8935546875,5.36681384363525,2020,ARG
,22.8656312880663,406.0,15050329403.8568,10.3982494646904,10636.1155301986,9960.0,,,4.6476001739502,5.1,,42.0,37.3,8.74,75.39,,4.62267855620475,2021,ARG
,,,9363392139.15852,5.2430444992488,13686.0086737317,11620.0,,,,,,,39.2,6.491,,,,2022,ARG
